Evaluation,Best,Average,Worst
200,1653.8629767732245,2007.7673849868465,2369.771111413849
300,1648.8202169672963,1914.431365607444,2281.505748517172
400,1608.8508798905723,1843.041124365828,2111.4862969560977
500,1462.8243859913118,1787.0399873122535,2189.4044380836394
600,1462.8243859913118,1743.7639955826985,2125.7941736217167
700,1392.448335808442,1682.8617308713492,2022.1820580423466
800,1372.6128521150174,1634.6119745310962,1868.4316614926115
900,1329.149543109961,1600.3269730860382,1961.4678351807295
1000,1329.149543109961,1554.8944104471038,1757.070258949706
1100,1217.2752340324212,1544.2911633426675,1976.1074561032447
1200,1217.2752340324212,1473.7661400702573,1772.5869056121076
1300,1217.2752340324212,1445.2476173835682,1784.3250976377299
1400,1217.2752340324212,1411.3045903070172,1812.2309344674507
1500,1205.1711139944055,1409.2686022242779,1734.5849953873442
1600,1205.1711139944055,1347.2444726988913,1647.2185763177472
1700,1191.4647967075052,1312.344212557423,1571.8439660718022
1800,1189.647486167836,1279.0126833645236,1737.1947777138523
1900,1156.3379534311432,1273.5417064501376,1601.8682189822962
2000,1152.70693720249,1266.178136286944,1724.149089659276
2100,1152.70693720249,1244.3173579830511,1545.1955914016678
2200,1132.5041527296944,1268.0325812090114,1565.6176340590182
2300,1132.5041527296944,1243.0561234551442,1620.1575576919442
2400,1119.9462874832482,1251.4073942124603,1654.5524982303007
2500,1097.5483463898004,1260.5021693200842,1666.3941863351222
2600,1073.6825460063092,1219.8490731113181,1774.4886489446974
2700,1073.6825460063092,1233.1927362586177,1646.209849860039
2800,1073.6825460063092,1219.5134529813192,1635.3940549585532
2900,1073.6825460063092,1203.4522273902269,1667.632822137074
3000,1073.6825460063092,1200.475841451093,1673.5456737079487
3100,1073.6825460063092,1170.2483991292493,1596.438014525871
3200,1071.3666073819431,1141.2361785354399,1669.056866031104
3300,1067.4211834000723,1118.139920392049,1537.1377794810073
3400,1067.4211834000723,1131.7933436617946,1500.497790670919
3500,1065.1052447757063,1119.9752551169265,1594.122075901505
3600,1065.1052447757063,1147.7087359130119,1614.9690603504896
3700,1046.1684163566201,1142.3722404600185,1595.7560426486518
3800,1046.1684163566201,1126.8175131322423,1687.696089960185
3900,1043.852477732254,1129.7409690193758,1553.5738870587504
4000,1043.852477732254,1107.3713627991863,1502.141306339522
4100,1043.852477732254,1129.376494793009,1600.6913130922044
4200,1043.8524777322539,1092.5952953858346,1475.80210095706
4300,1043.8524777322539,1094.6190355588587,1478.6090621547694
4400,1043.8524777322539,1093.8050494865656,1527.047513906445
4500,1029.813856283476,1088.1332574295443,1483.211961245931
4600,962.2374533964135,1099.4085673728814,1505.4548232730203
4700,962.2374533964135,1136.6587537642547,1681.3379403201127
4800,962.2374533964135,1106.4710928602328,1616.323767105158
4900,962.2374533964135,1101.5708379648179,1546.0816489440667
5000,962.2374533964135,1091.3882087540844,1560.456816117662
5100,962.2374533964135,1071.5295121170832,1525.3485329449038
5200,959.7806757428953,1053.0676212505466,1495.7123568559532
5300,952.6637988547636,1009.4964389305668,1517.8448691143121
5400,952.6637988547636,1010.7825996885293,1395.3739506354898
5500,952.6637988547636,1030.1196518178579,1432.071764061575
5600,952.6637988547636,1030.376708196718,1443.7006112209126
5700,952.6637988547636,1040.9900852424644,1433.4734571138636
5800,940.4258367388593,1056.1107086047962,1479.483128751439
5900,940.4258367388593,1006.0016694551443,1409.5393441054346
6000,933.2040573890799,1003.9798850639577,1416.6758085869578
6100,917.4938014994766,995.9826527737949,1399.87986298037
6200,917.4938014994766,1005.78138085811,1410.7944817702496
6300,917.4938014994766,1001.2182207839745,1309.6838819509285
6400,917.4938014994766,1009.9284058737504,1528.8871108820408
6500,917.4938014994766,1013.7757150004072,1406.1920287256712
6600,917.4938014994766,1011.1335122874028,1542.9400632845443
6700,917.4938014994766,989.1003110581534,1417.4674997071281
6800,917.4938014994766,976.6314117832003,1431.41852543103
6900,917.4938014994766,977.025702647463,1322.3102151738651
7000,913.8575683449669,967.8527058173948,1290.0333573582186
7100,913.8575683449669,982.2406708605733,1301.2123079544206
7200,913.8575683449669,979.0702405656439,1348.2140168169826
7300,913.8575683449669,959.4739619903345,1504.6313559644655
7400,908.5936436843924,974.9464200735981,1491.8660220784864
7500,908.5936436843924,960.702662592576,1320.0870465660098
7600,908.5936436843924,953.3781174533891,1301.601876009683
7700,908.5936436843924,966.148356391827,1370.2352741954428
7800,891.4187682804034,966.150870263169,1272.0848226698317
7900,891.4187682804034,956.574495778208,1328.8853442677798
8000,891.4187682804034,977.7437385919715,1326.1254908905807
8100,891.4187682804034,972.3449215776518,1473.4576655469723
8200,889.7577124702436,958.7897817213568,1263.8348867522009
8300,889.7577124702436,991.4472990707608,1331.2355090611982
8400,883.7909560107746,959.7505922246183,1438.8191055692644
8500,883.7909560107746,950.7004421949564,1408.4930334069816
8600,883.7909560107746,967.1809397824571,1512.7680762871678
8700,883.7909560107746,953.0085919440378,1424.8976685170812
8800,883.7909560107746,940.7682630796854,1472.7402750732595
8900,883.7909560107746,943.4756657782609,1525.5334101731469
9000,883.7909560107746,958.3407251009834,1457.0869165670076
9100,883.7909560107746,939.975587287552,1402.8101161408092
9200,883.7909560107746,943.2457415820587,1504.8001667304102
9300,883.7909560107746,966.489709704923,1347.5295187855436
9400,883.7909560107746,943.5523426041358,1426.3040102552004
9500,883.7909560107746,927.5225294264942,1219.3351471239705
9600,883.7909560107746,954.4250809712029,1472.7402750732595
9700,883.7909560107746,958.6481705085956,1400.0626328581159
